Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chr7	86583862	86591128	+	Olfr295	86583862
chr7	86583862	86591128	+	Olfr295	86585277
chr1	171173262	171196268	-	Pcp4l1	171196268
chr17	37799888	37808617	+	Olfr124	37799888
chr17	37799888	37808617	+	Olfr124	37799991
chr17	37799888	37808617	+	Olfr124	37801179
chr17	37799888	37808617	+	Olfr124	37805069
chr9	46303361	46319986	-	4931429L15Rik	46319986
chr9	46303361	46319986	-	4931429L15Rik	46315942
chr9	46303361	46319986	-	4931429L15Rik	46311587
chr5	121815488	121837646	-	Sh2b3	121836859
chr5	121815488	121837646	-	Sh2b3	121828741
chr5	121815488	121837646	-	Sh2b3	121836104
chr5	121815488	121837646	-	Sh2b3	121836850
chr5	121815488	121837646	-	Sh2b3	121836817
chr5	121815488	121837646	-	Sh2b3	121837646
chr5	121815488	121837646	-	Sh2b3	121836264
chr15	101447744	101453907	+	Krt88	101447744
chr8	94434356	94527272	+	Nlrc5	94434391
chr8	94434356	94527272	+	Nlrc5	94470010
chr8	94434356	94527272	+	Nlrc5	94472763
chr8	94434356	94527272	+	Nlrc5	94525067
chr5	113937094	113993894	-	Ssh1	113993894
chr5	113937094	113993894	-	Ssh1	113993779
chr5	113937094	113993894	-	Ssh1	113989743
chr5	113937094	113993894	-	Ssh1	113966756
chr3	79603788	79629500	-	Etfdh	79628863
chr3	79603788	79629500	-	Etfdh	79628697
chr2	148436640	148443563	-	Cd93	148443563
chr11	78261752	78290623	+	2610507B11Rik	78261752
chr1	171234853	171251388	-	Ndufs2	171247122
chr1	171234853	171251388	-	Ndufs2	171251251
chr1	171234853	171251388	-	Ndufs2	171251388
chr12	98628157	98669815	+	Spata7	98628157
chr12	98628157	98669815	+	Spata7	98628167
chr12	98628157	98669815	+	Spata7	98628197
chr3	107741048	107760469	-	Csf1	107760236
chr3	107741048	107760469	-	Csf1	107760469
chr3	107741048	107760469	-	Csf1	107750979
chr3	107741048	107760469	-	Csf1	107760242
chr3	107741048	107760469	-	Csf1	107750741
chr3	107741048	107760469	-	Csf1	107760221
chrX	74740927	74742188	+	Ctag2l2	74740927
chr3	8663359	8667256	-	Hey1	8667256
chr11	107033081	107132127	-	Bptf	107132127
chr11	107033081	107132127	-	Bptf	107047343
chr11	107033081	107132127	-	Bptf	107052890
chr11	107033081	107132127	-	Bptf	107067205
chr11	107033081	107132127	-	Bptf	107131922
chr1	180693043	180697034	-	Mixl1	180697034
chr9	106170928	106191139	+	Wdr82	106170928
chr17	37832949	37838490	+	Olfr125	37832949
chr17	37832949	37838490	+	Olfr125	37834911
chr1	192098546	192138062	-	Rcor3	192138010
chr1	192098546	192138062	-	Rcor3	192138040
chr1	192098546	192138062	-	Rcor3	192138062
chr1	192098546	192138062	-	Rcor3	192124285
chr1	192098546	192138062	-	Rcor3	192138026
chr1	192098546	192138062	-	Rcor3	192137927
chr1	192098546	192138062	-	Rcor3	192137660
chr14	59320964	59341351	-	Phf11b	59341351
chr9	39128131	39145072	+	Olfr27	39128131
chr9	39128131	39145072	+	Olfr27	39128132
chr12	84773251	84775088	+	Isca2	84773251
chr12	84773251	84775088	+	Isca2	84773278
chr12	84773251	84775088	+	Isca2	84773305
chr12	84773251	84775088	+	Isca2	84773325
chr14	55510445	55517431	+	Cpne6	55510445
chr14	55510445	55517431	+	Cpne6	55510448
chr14	55510445	55517431	+	Cpne6	55511360
chr14	55510445	55517431	+	Cpne6	55511985
chr2	176798612	176811223	+	Gm14295	176798612
chr2	176798612	176811223	+	Gm14295	176802233
chr2	176798612	176811223	+	Gm14295	176807362
chr18	44156395	44159885	-	Gm10267	44159885
chr18	44156395	44159885	-	Gm10267	44159303
chr2	176831140	176836730	+	Gm14408	176831140
chr2	148672601	148676027	+	Nxt1	148672626
chr2	148672601	148676027	+	Nxt1	148672601
chr1	180726043	180754204	+	Acbd3	180726043
chr3	153973436	154271722	+	Slc44a5	153973436
chr3	153973436	154271722	+	Slc44a5	154046923
chrX	13280970	13294052	+	Ddx3x	13280970
chr10	128494157	128498685	-	Myl6b	128498685
chr1	184033030	184034301	-	1700056E22Rik	184033998
chr19	11214082	11232448	-	Ms4a12	11232448
chr6	90462576	90475238	+	Klf15	90462576
chr6	90462576	90475238	+	Klf15	90462674
chr6	90462576	90475238	+	Klf15	90465304
chr6	90462576	90475238	+	Klf15	90466400
chr6	90462576	90475238	+	Klf15	90467118
chr1	177442351	177450764	+	Zbtb18	177442351
chr1	177442351	177450764	+	Zbtb18	177442466
chr1	177442351	177450764	+	Zbtb18	177442544
chr1	177442351	177450764	+	Zbtb18	177443216
chr1	177442351	177450764	+	Zbtb18	177444295
chr1	177442351	177450764	+	Zbtb18	177444649
chr1	177442351	177450764	+	Zbtb18	177444653
chr1	177442351	177450764	+	Zbtb18	177444661
chr1	177442351	177450764	+	Zbtb18	177444737
chr1	177442351	177450764	+	Zbtb18	177444938
chr1	177442351	177450764	+	Zbtb18	177445821
chr1	184013302	184075636	+	Dusp10	184013302
chr1	184013302	184075636	+	Dusp10	184034381
chr19	11249675	11266241	-	Ms4a1	11266241
chr3	79629079	79632820	+	4930579G24Rik	79629079
chrX	74837196	74843355	+	Gm5936	74837196
chr17	24488601	24508671	+	Caskin1	24488783
chr17	24488601	24508671	+	Caskin1	24488875
chr6	146950329	146954422	-	1700034J05Rik	146954422
chr6	146950329	146954422	-	1700034J05Rik	146954414
chrX	48541625	48594504	-	Zfp280c	48592133
chrX	48541625	48594504	-	Zfp280c	48594373
chrX	48541625	48594504	-	Zfp280c	48594452
chrX	48541625	48594504	-	Zfp280c	48591761
chr9	57560943	57588795	+	Scamp2	57560943
chr9	57560943	57588795	+	Scamp2	57560958
chr9	57560943	57588795	+	Scamp2	57562907
chr13	73626911	73649843	+	Tert	73626916
chr1	133164210	133303435	+	Plekha6	133164210
chr1	133164210	133303435	+	Plekha6	133181321
chr1	133164210	133303435	+	Plekha6	133246106
chr1	133164210	133303435	+	Plekha6	133256542
chr1	133164210	133303435	+	Plekha6	133259009
chr1	133164210	133303435	+	Plekha6	133272217
chr1	133164210	133303435	+	Plekha6	133274248
chr1	133164210	133303435	+	Plekha6	133274254
chr1	133164210	133303435	+	Plekha6	133246097
chr15	101459061	101463751	-	Krt81	101463751
chr4	126232167	126256343	-	Map7d1	126240111
chr4	126232167	126256343	-	Map7d1	126256277
chr4	126232167	126256343	-	Map7d1	126256283
chr4	126232167	126256343	-	Map7d1	126256343
chr15	78775138	78803042	-	Card10	78803042
chr15	78775138	78803042	-	Card10	78802669
chr8	75093621	75100589	+	Hmox1	75093621
chr3	129914960	129970206	-	Mcub	129970206
chr3	129914960	129970206	-	Mcub	129970076
chr3	129914960	129970206	-	Mcub	129969989
chr19	11273238	11283873	-	Ms4a5	11283813
chr19	11273238	11283873	-	Ms4a5	11283873
chr9	44741564	44767845	-	Arcn1	44767845
chr2	119897228	119969581	+	Mga	119897228
chr2	119897228	119969581	+	Mga	119897305
chr6	146888487	147032025	+	Ppfibp1	146888487
chr6	146888487	147032025	+	Ppfibp1	146888509
chr6	146888487	147032025	+	Ppfibp1	146888589
chr6	146888487	147032025	+	Ppfibp1	146976483
chr6	146888487	147032025	+	Ppfibp1	146992480
chr6	146888487	147032025	+	Ppfibp1	147002243
chr6	146888487	147032025	+	Ppfibp1	147010879
chr18	67774876	67795487	+	Seh1l	67774876
chr18	67774876	67795487	+	Seh1l	67774975
chr11	69554092	69560205	-	Efnb3	69560205
chr15	101473478	101479986	+	Krt86	101473478
chr9	73102470	73117920	+	Gm20509	73102470
chr9	73101836	73104438	+	Khdc3	73101836
chr9	73101836	73104438	+	Khdc3	73102398
chr9	73101836	73104438	+	Khdc3	73102510
chr1	155698031	155751684	-	Lhx4	155742027
chr1	155698031	155751684	-	Lhx4	155751684
chr15	102470539	102500061	+	Pcbp2	102470550
chr15	102470539	102500061	+	Pcbp2	102470632
chr15	102470539	102500061	+	Pcbp2	102470653
chr15	102470539	102500061	+	Pcbp2	102470677
chr15	102470539	102500061	+	Pcbp2	102470757
chr15	102470539	102500061	+	Pcbp2	102470765
chr15	102470539	102500061	+	Pcbp2	102470784
chr15	102470539	102500061	+	Pcbp2	102470785
chr15	102470539	102500061	+	Pcbp2	102471068
chr15	102470539	102500061	+	Pcbp2	102471239
chr15	102470539	102500061	+	Pcbp2	102472737
chr15	102470539	102500061	+	Pcbp2	102473270
chr15	102470539	102500061	+	Pcbp2	102473281
chr15	102470539	102500061	+	Pcbp2	102473303
chr15	102470539	102500061	+	Pcbp2	102473334
chr15	102470539	102500061	+	Pcbp2	102473502
chr15	102470539	102500061	+	Pcbp2	102473539
chr15	102470539	102500061	+	Pcbp2	102473541
chr15	102470539	102500061	+	Pcbp2	102474145
chr15	102470539	102500061	+	Pcbp2	102474247
chr15	102470539	102500061	+	Pcbp2	102474616
chr15	102470539	102500061	+	Pcbp2	102478618
chr15	102470539	102500061	+	Pcbp2	102478637
chr15	102470539	102500061	+	Pcbp2	102483198
chr15	102470539	102500061	+	Pcbp2	102484154
chr6	42400238	42401119	+	Tas2r143	42400238
chr14	70636203	70642268	-	Fgf17	70642268
chr14	70636203	70642268	-	Fgf17	70642254
chr2	176892509	176927809	-	Gm14296	176927809
chr2	176892509	176927809	-	Gm14296	176917518
chr6	42405434	42406526	+	Tas2r135	42405434
chr6	42434535	42435464	+	Tas2r126	42434535
chr2	26667674	26671282	-	Lcn4	26671282
chr3	88835231	88910103	+	Gon4l	88835231
chr3	88835231	88910103	+	Gon4l	88855664
chr3	88835231	88910103	+	Gon4l	88837016
chr15	79075179	79094405	+	Eif3l	79075179
chr15	79075179	79094405	+	Eif3l	79075258
chr19	56912361	57008228	-	Afap1l2	57008198
chr19	56912361	57008228	-	Afap1l2	57008210
chr19	56912361	57008228	-	Afap1l2	57008228
chr19	56912361	57008228	-	Afap1l2	57001046
chr19	56912361	57008228	-	Afap1l2	56937238
chr18	44270127	44277700	+	Npy6r	44270127
chr15	101485130	101491512	-	Krt83	101491512
chr9	73113426	73123333	+	Rsl24d1	73113426
chr9	73113426	73123333	+	Rsl24d1	73113448
chr9	73113426	73123333	+	Rsl24d1	73114596
chr9	58218076	58249786	-	Pml	58249786
chr9	58218076	58249786	-	Pml	58249733
chr9	58218076	58249786	-	Pml	58249665
chr9	58218076	58249786	-	Pml	58249660
chrX	142304752	142306294	-	Kcne1l	142306294
chr18	44166356	44175074	-	Spinkl	44175074
chr10	43002500	43174530	-	Sobp	43174530
chr11	72344722	72362442	-	Tekt1	72361296
chr11	72344722	72362442	-	Tekt1	72361873
chr11	72344722	72362442	-	Tekt1	72362442
chr15	82370527	82380260	-	Cyp2d22	82380257
chr15	82370527	82380260	-	Cyp2d22	82375900
chr17	34647146	34655074	+	Atf6b	34647146
chr17	34647146	34655074	+	Atf6b	34647211
chr17	46383731	46420920	+	Zfp318	46383731
chr17	46383731	46420920	+	Zfp318	46383751
chr14	30548359	30574720	+	Tkt	30549131
chr14	30548359	30574720	+	Tkt	30549357
chr2	158258094	158284531	+	Bpi	158258094
chr18	44190045	44196177	-	Spink11	44196177
chr5	92415540	92435219	-	Nup54	92435219
chr5	92415540	92435219	-	Nup54	92435123
chr5	92415540	92435219	-	Nup54	92434757
chr19	39767071	39812814	-	Cyp2c40	39812814
chr19	39767071	39812814	-	Cyp2c40	39812744
chr9	66514637	66593142	-	Usp3	66593142
chr9	66514637	66593142	-	Usp3	66593036
chr9	66514637	66593142	-	Usp3	66593006
chr11	49794178	49838613	+	Gfpt2	49794187
chr2	163017354	163046141	+	Ift52	163017354
chr2	163017354	163046141	+	Ift52	163017491
chr8	112570043	112882717	+	Cntnap4	112570043
chr6	42459979	42465196	-	Olfr458	42465196
chr6	42459979	42465196	-	Olfr458	42461017
chr14	70647302	70659244	-	Npm2	70653084
chr8	12573029	12600744	+	Spaca7	12573029
chr8	12573029	12600744	+	Spaca7	12573049
chr7	49974864	50866608	+	Nell1	49974864
chr7	49974864	50866608	+	Nell1	49975334
chr5	121711337	121816493	+	Atxn2	121711609
chr5	121711337	121816493	+	Atxn2	121711860
chr5	121711337	121816493	+	Atxn2	121749196
chr5	121711337	121816493	+	Atxn2	121777929
chr5	121711337	121816493	+	Atxn2	121783907
chr5	121711337	121816493	+	Atxn2	121802230
chr5	121711337	121816493	+	Atxn2	121811507
chr9	106194947	106199746	-	Ppm1m	106196888
chr9	106194947	106199746	-	Ppm1m	106198942
chr9	106194947	106199746	-	Ppm1m	106199275
chr15	77991748	78120028	-	Cacng2	78120028
chr6	42468015	42476335	-	Olfr457	42476325
chr6	42468015	42476335	-	Olfr457	42476335
chr6	42468015	42476335	-	Olfr457	42472200
chr11	115462474	115474398	+	Slc16a5	115462474
chr11	115462474	115474398	+	Slc16a5	115462478
chr11	115462474	115474398	+	Slc16a5	115462506
chr6	87980421	87981637	-	H1f10	87981637
chr8	22757727	22782844	+	Plat	22757747
chr9	62878368	62987924	-	Pias1	62980879
chr9	62878368	62987924	-	Pias1	62887387
chr9	62878368	62987924	-	Pias1	62980883
chr9	62878368	62987924	-	Pias1	62987924
chr3	121201761	121283098	-	Tlcd4	121283098
chr3	121201761	121283098	-	Tlcd4	121263314
chr3	121201761	121283098	-	Tlcd4	121263340
chr3	121201761	121283098	-	Tlcd4	121252863
chr17	24527241	24534210	-	Rab26	24533726
chr17	24527241	24534210	-	Rab26	24533888
chr17	24527241	24534210	-	Rab26	24534210
chr14	70766036	70778495	+	Dok2	70774304
chr7	28129466	28164811	+	9530053A07Rik	28129816
chr7	28129466	28164811	+	9530053A07Rik	28129466
chr16	64780347	64851652	-	Zfp654	64851652
chr16	64780347	64851652	-	Zfp654	64786321
chr6	87383256	87388935	-	Gkn3	87388935
chr11	58978093	58991458	+	Trim11	58978093
chr11	58978093	58991458	+	Trim11	58978115
chr11	58978093	58991458	+	Trim11	58978116
chr5	30466047	30484088	+	Fam166c	30466047
chr5	30466047	30484088	+	Fam166c	30466059
chr5	30466047	30484088	+	Fam166c	30466084
chr9	73479422	73968966	-	Unc13c	73968966
chr9	73479422	73968966	-	Unc13c	73933567
chr3	65379655	65392623	-	Ssr3	65392623
chr3	65379655	65392623	-	Ssr3	65392553
chr8	71597648	71607936	+	Fam129c	71597648
chr8	71597648	71607936	+	Fam129c	71604961
chr16	96200450	96228935	+	Sh3bgr	96200450
chr16	96200450	96228935	+	Sh3bgr	96200671
chr16	96200450	96228935	+	Sh3bgr	96200704
chr16	96200450	96228935	+	Sh3bgr	96200729
chr16	96200450	96228935	+	Sh3bgr	96205719
chr16	96200450	96228935	+	Sh3bgr	96206643
chr16	96200450	96228935	+	Sh3bgr	96220499
chr16	96200450	96228935	+	Sh3bgr	96223840
chr6	42486163	42487214	-	Olfr456	42487214
chr7	86615636	86616643	-	Olfr294	86616643
chr1	85793441	85851576	+	Cab39	85793441
chr1	85793441	85851576	+	Cab39	85793541
chr1	85793441	85851576	+	Cab39	85794468
chr1	85793441	85851576	+	Cab39	85794511
chr14	70654246	70766628	-	Xpo7	70766554
chr14	70654246	70766628	-	Xpo7	70708035
chr14	70654246	70766628	-	Xpo7	70766552
chr14	70654246	70766628	-	Xpo7	70766628
chr5	73606642	73632526	-	Lrrc66	73632526
chr5	73606642	73632526	-	Lrrc66	73630312
chr7	86649061	86666045	+	Olfr293	86649061
chr7	86649061	86666045	+	Olfr293	86663664
chr8	88118769	88135110	+	Cnep1r1	88118769
chr8	88118769	88135110	+	Cnep1r1	88118800
chr8	88118769	88135110	+	Cnep1r1	88118807
chr19	39842814	39886799	-	Cyp2c69	39886799
chr6	42535664	42547587	-	Olfr455	42547587
chr6	42535664	42547587	-	Olfr455	42539020
chr12	52097737	52312744	+	Nubpl	52097737
chr7	86688330	86697507	+	Olfr292	86688330
chr6	42584866	42597692	-	Tcaf3	42597372
chr6	42584866	42597692	-	Tcaf3	42597692
chr13	64133018	64153202	-	Zfp367	64153202
chr6	116264222	116330302	+	Zfand4	116264263
chr6	116264222	116330302	+	Zfand4	116264265
chr6	116264222	116330302	+	Zfand4	116286553
chr6	116264222	116330302	+	Zfand4	116264222
chr10	80805243	80807648	+	Amh	80805243
chr9	74110356	74283308	+	Wdr72	74110356
chr8	109548011	109565861	-	Dhx38	109565861
chr4	43267159	43373833	+	Atp8b5	43267170
chr4	43267159	43373833	+	Atp8b5	43267191
chr14	47540893	47570649	-	Atg14	47570649
chr14	47540893	47570649	-	Atg14	47568404
chr14	47540893	47570649	-	Atg14	47568434
chr2	181657034	181659467	+	Gm29797	181657034
chr3	88905107	88913999	-	Msto1	88913931
chr3	88905107	88913999	-	Msto1	88913999
chr15	101515920	101517261	-	Gm49425	101517261
chr2	181669836	181671640	-	Sox18	181671640
chr19	11301249	11314454	-	Ms4a14	11314454
chr7	50599190	50600530	+	4933405O20Rik	50599190
chr5	115327177	115333080	+	Srsf9	115327177
chr5	115327177	115333080	+	Srsf9	115330578
chr4	86444641	86558328	-	Saxo1	86558303
chr15	101525026	101532820	-	Krt84	101532820
chr10	127075284	127093169	+	Agap2	127075284
chr10	127075284	127093169	+	Agap2	127078907
chr8	22787354	22805622	-	Ap3m2	22805604
chr8	22787354	22805622	-	Ap3m2	22805622
chr3	90293178	90363407	+	Gatad2b	90293178
chr3	90293178	90363407	+	Gatad2b	90294083
chr3	90293178	90363407	+	Gatad2b	90341656
chr3	90293178	90363407	+	Gatad2b	90351418
chr3	90293178	90363407	+	Gatad2b	90341654
chr17	24508562	24527938	-	Traf7	24527938
chr17	24508562	24527938	-	Traf7	24527846
chr17	24508562	24527938	-	Traf7	24527863
chr17	24508562	24527938	-	Traf7	24527489
chr17	24508562	24527938	-	Traf7	24527548
chr17	24508562	24527938	-	Traf7	24519208
chr15	82389154	82394022	-	Cyp2d11	82394022
chrX	85701937	85776819	-	Gk	85776819
chrX	85701937	85776819	-	Gk	85776653
chrX	85701937	85776819	-	Gk	85776637
chrX	85701937	85776819	-	Gk	85776624
chr8	71592176	71601092	+	Pgls	71592176
chr8	71592176	71601092	+	Pgls	71592237
chr8	71592176	71601092	+	Pgls	71592291
chr15	84379203	84447097	-	Shisal1	84447097
chr15	84379203	84447097	-	Shisal1	84446545
chr15	84379203	84447097	-	Shisal1	84446610
chr15	84379203	84447097	-	Shisal1	84443697
chr15	101541214	101550667	-	Krt82	101550667
chr18	59062248	59076962	+	Minar2	59062282
chr18	59062248	59076962	+	Minar2	59062462
chr18	59062248	59076962	+	Minar2	59062466
chr18	59062248	59076962	+	Minar2	59062494
chr18	59062248	59076962	+	Minar2	59062511
chr12	82588292	83162056	+	Rgs6	82588292
chr12	82588292	83162056	+	Rgs6	82616636
chr12	82588292	83162056	+	Rgs6	82616925
chr12	82588292	83162056	+	Rgs6	82616945
chr12	82588292	83162056	+	Rgs6	82617038
chr12	82588292	83162056	+	Rgs6	82617499
chr12	82588292	83162056	+	Rgs6	82617587
chr12	82588292	83162056	+	Rgs6	82617635
chr12	82588292	83162056	+	Rgs6	82617654
chr12	82588292	83162056	+	Rgs6	82617849
chr12	82588292	83162056	+	Rgs6	82651829
chr12	82588292	83162056	+	Rgs6	83106787
chr1	13668771	13701723	+	Xkr9	13668771
chr17	13051014	13052296	-	Gpr31b	13052296
chr1	191997205	192092559	-	Traf5	191999970
chr1	191997205	192092559	-	Traf5	192059162
chr1	191997205	192092559	-	Traf5	192092559
chr9	63138170	63148961	-	Skor1	63147011
chr9	63138170	63148961	-	Skor1	63148961
chr9	63138170	63148961	-	Skor1	63146980
chr13	100281121	100317674	-	Naip6	100317674
chr13	100281121	100317674	-	Naip6	100316616
chr2	88904942	88915157	-	Olfr1209	88915157
chr2	88904942	88915157	-	Olfr1209	88910391
chr5	92052146	92083719	-	G3bp2	92083719
chr5	92052146	92083719	-	G3bp2	92083238
chr5	92052146	92083719	-	G3bp2	92083513
chr5	92052146	92083719	-	G3bp2	92083658
chr5	92052146	92083719	-	G3bp2	92073520
chr5	92052146	92083719	-	G3bp2	92083263
chr5	92052146	92083719	-	G3bp2	92083557
chrX	13466110	13489313	+	Nyx	13466110
chr15	101552356	101562950	-	Krt90	101562950
chr6	96164497	96166243	-	1700123L14Rik	96166243
chr14	56231441	56234656	-	Gzmc	56234656
chr6	96113154	96657198	+	Tafa1	96113154
chr6	96113154	96657198	+	Tafa1	96115311
chr15	84553398	84557823	-	Rtl6	84557823
chr9	51270258	51279651	-	Colca2	51278554
chr9	51270258	51279651	-	Colca2	51279651
chrX	135718667	135725261	-	Tmsb15a	135725261
chrX	135718667	135725261	-	Tmsb15a	135720673
chr6	113458484	113470758	+	Il17re	113458484
chr6	113458484	113470758	+	Il17re	113458807
chr6	113458484	113470758	+	Il17re	113458834
chr6	113458484	113470758	+	Il17re	113458895
chr12	101968090	101977068	-	Ndufb1-ps	101976254
chr12	101968090	101977068	-	Ndufb1-ps	101977064
chr12	101968090	101977068	-	Ndufb1-ps	101975927
chr9	54950230	54950998	-	AY074887	54950998
chr5	47983138	48307733	+	Slit2	47983138
chr5	47983138	48307733	+	Slit2	47983154
chr5	47983138	48307733	+	Slit2	48238501
chr8	109565892	109574051	+	Txnl4b	109565892
chr8	109565892	109574051	+	Txnl4b	109568888
chr15	84669620	84703673	+	Prr5	84669620
chr15	84669620	84703673	+	Prr5	84681002
chr2	88926876	88938111	-	Olfr1211	88938111
chr2	88926876	88938111	-	Olfr1211	88938105
chr2	88926876	88938111	-	Olfr1211	88930313
chr9	54950790	54958030	+	Psma4	54950790
chr9	54950790	54958030	+	Psma4	54950815
chr9	54950790	54958030	+	Psma4	54951104
chr16	3591042	3599323	+	Olfr161	3591042
chr16	3591042	3599323	+	Olfr161	3592398
chr12	101975988	102006424	+	Cpsf2	101975988
chrX	74966843	75085458	-	Gab3	75084905
chrX	74966843	75085458	-	Gab3	75084757
chr6	42623016	42645254	-	Tcaf2	42645254
chr1	59763400	59879014	+	Bmpr2	59763400
chr2	92374676	92381217	+	Pex16	92375306
chr2	88953969	88961313	+	Olfr1212	88953969
chr2	88953969	88961313	+	Olfr1212	88958468
chr9	106203108	106215389	+	Twf2	106203108
chr9	106203108	106215389	+	Twf2	106203114
chr9	106203108	106215389	+	Twf2	106206798
chr9	106203108	106215389	+	Twf2	106211719
chr9	74861921	74891781	+	Onecut1	74861921
chr11	116062095	116077961	-	Unc13d	116077750
chr11	116062095	116077961	-	Unc13d	116077590
chr11	116062095	116077961	-	Unc13d	116077051
chr11	116062095	116077961	-	Unc13d	116077941
chr11	116062095	116077961	-	Unc13d	116077961
chr15	81848272	81858796	-	Tob2	81858485
chr15	81848272	81858796	-	Tob2	81858522
chrX	61184005	61185558	-	Cdr1	61185558
chr5	143357338	143392152	+	Grid2ip	143357338
chr5	143357338	143392152	+	Grid2ip	143363908
chr5	143357338	143392152	+	Grid2ip	143370092
chr10	71225464	71238280	-	Tfam	71238280
chr10	71225464	71238280	-	Tfam	71237678
chr10	71225464	71238280	-	Tfam	71237042
chr3	107938847	107943749	-	Gstm6	107943749
chr3	107938847	107943749	-	Gstm6	107943734
chr3	107938847	107943749	-	Gstm6	107943362
chr3	107938847	107943749	-	Gstm6	107943413
chr3	138217760	138233382	+	Adh7	138217760
chr6	124396816	124415067	-	Pex5	124414433
chr6	124396816	124415067	-	Pex5	124414863
chr6	124396816	124415067	-	Pex5	124415067
chr6	124396816	124415067	-	Pex5	124415037
chr13	115035273	115101921	-	Gm49395	115101921
chr17	56412426	56476483	-	Ptprs	56476439
chr17	56412426	56476483	-	Ptprs	56462216
chr17	56412426	56476483	-	Ptprs	56476483
chr17	56412426	56476483	-	Ptprs	56427994
chr17	56412426	56476483	-	Ptprs	56435009
chr17	56412426	56476483	-	Ptprs	56434982
chr17	56412426	56476483	-	Ptprs	56474627
chr8	83666536	83699179	-	Pkn1	83699179
chr8	83666536	83699179	-	Pkn1	83694060
chr13	114953096	115101964	-	Itga1	115101964
chr2	63971507	64098038	-	Fign	64098012
chr16	64851996	64859507	+	Cggbp1	64851996
chr7	28169710	28179269	+	Fbl	28169710
chr7	28169710	28179269	+	Fbl	28169767
chr15	84720052	84772207	+	Arhgap8	84732892
chr15	84720052	84772207	+	Arhgap8	84720052
chr11	104608000	104670476	+	Itgb3	104608000
chr2	177000956	177012787	+	Gm14419	177004553
chr2	177000956	177012787	+	Gm14419	177000956
chr2	177000956	177012787	+	Gm14419	177000977
chr2	177000956	177012787	+	Gm14419	177009681
chr12	112907819	112929776	-	Jag2	112929776
chr12	112907819	112929776	-	Jag2	112915957
chrX	135797594	135891081	+	Bhlhb9	135885853
chrX	135797594	135891081	+	Bhlhb9	135885851
chr5	109674545	109691041	-	5430403G16Rik	109691041
chrX	6399854	6637448	+	Shroom4	6399854
chrX	6399854	6637448	+	Shroom4	6415742
chrX	6399854	6637448	+	Shroom4	6577286
chr3	138164078	138239663	-	4930579F01Rik	138186673
chr3	138164078	138239663	-	4930579F01Rik	138239663
chr3	138164078	138239663	-	4930579F01Rik	138186713
chr3	65528410	65555518	+	Tiparp	65528410
chr3	65528410	65555518	+	Tiparp	65528460
chr2	177074320	177087347	+	Gm14401	177080265
chr2	177074320	177087347	+	Gm14401	177080256
chr2	177074320	177087347	+	Gm14401	177074320
chr5	32611171	32687057	+	Yes1	32611171
chr5	32611171	32687057	+	Yes1	32611184
chr5	32611171	32687057	+	Yes1	32611335
chr5	32611171	32687057	+	Yes1	32639531
chr11	101330605	101341938	+	Aoc3	101330605
chr11	101330605	101341938	+	Aoc3	101331069
chr2	153161303	153210466	+	Tm9sf4	153161303
chr2	26842503	26864979	-	Abo	26856798
chr2	26842503	26864979	-	Abo	26864979
chr11	72389164	72411713	-	Smtnl2	72411711
chr11	72389164	72411713	-	Smtnl2	72411713
chr1	180800832	180813943	-	H3f3a	180813632
chr1	180800832	180813943	-	H3f3a	180813547
chr1	180800832	180813943	-	H3f3a	180813943
chr1	180800832	180813943	-	H3f3a	180813534
chr1	180800832	180813943	-	H3f3a	180813603
chr2	177183453	177206421	-	Gm14410	177202829
chr2	177183453	177206421	-	Gm14410	177206421
chr2	92365046	92374869	-	Large2	92370986
chr2	92365046	92374869	-	Large2	92371057
chr2	92365046	92374869	-	Large2	92371028
chr2	92365046	92374869	-	Large2	92371967
chr2	92365046	92374869	-	Large2	92371033
chr2	92365046	92374869	-	Large2	92374869
chr7	19508395	19516145	+	Trappc6a	19508712
chr7	19508395	19516145	+	Trappc6a	19508726
chr7	19508395	19516145	+	Trappc6a	19514420
chr1	51749765	51916071	-	Myo1b	51916071
chr1	51749765	51916071	-	Myo1b	51915941
chr1	51749765	51916071	-	Myo1b	51907316
chr1	51749765	51916071	-	Myo1b	51915928
chr1	51749765	51916071	-	Myo1b	51896301
chr2	177264654	177267036	-	Gm14409	177267036
chr2	177314520	177324307	-	Gm14412	177324307
chr9	14860210	14870789	+	Gpr83	14860210
chr9	14860210	14870789	+	Gpr83	14860254
chrX	133582860	133688987	-	Pcdh19	133688987
chrX	133582860	133688987	-	Pcdh19	133687264
chrX	133582860	133688987	-	Pcdh19	133685893
chr9	51289686	51328924	-	1810046K07Rik	51312715
chr9	51289686	51328924	-	1810046K07Rik	51328917
chr9	51289686	51328924	-	1810046K07Rik	51328924
chr16	64924729	65105854	-	Htr1f	65105854
chr15	90933276	91049948	-	Kif21a	91049845
chr15	90933276	91049948	-	Kif21a	91049818
chr15	90933276	91049948	-	Kif21a	91049838
chr15	90933276	91049948	-	Kif21a	90951306
chr15	90933276	91049948	-	Kif21a	90966402
chr15	90933276	91049948	-	Kif21a	91049948
chr10	127031004	127041513	-	Eef1akmt3	127041513
chr13	115088355	115090186	-	Pelo	115090186
chr4	119255414	119262438	+	Cldn19	119255414
chr4	119255414	119262438	+	Cldn19	119255509
chr10	127041414	127046365	+	Mettl1	127041414
