Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
13	33917918	34002794	-	Serpinb6a	34002767
13	33917918	34002794	-	Serpinb6a	33935954
13	33917918	34002794	-	Serpinb6a	34002786
13	33917918	34002794	-	Serpinb6a	34002740
13	33917918	34002794	-	Serpinb6a	33936083
5	129908540	129913789	+	Nupr1l	129908568
X	153006469	153009416	+	Usp51	153006469
4	135494790	135537803	+	Stpg1	135495987
4	107314363	107359823	+	Yipf1	107314363
4	107314363	107359823	+	Yipf1	107314384
4	107314363	107359823	+	Yipf1	107314437
4	107314363	107359823	+	Yipf1	107314412
X	153036166	153037575	-	Mageh1	153037575
9	106281061	106350521	+	Poc1a	106281061
9	106281061	106350521	+	Poc1a	106281380
9	106281061	106350521	+	Poc1a	106281582
9	106281061	106350521	+	Poc1a	106281610
9	106281061	106350521	+	Poc1a	106282884
9	66814994	66834726	-	Aph1c	66834726
9	66814994	66834726	-	Aph1c	66834648
7	86718977	86775943	-	Folh1	86775943
7	86718977	86775943	-	Folh1	86775808
2	155973279	156007977	-	6430550D23Rik	156007919
2	155973279	156007977	-	6430550D23Rik	156007977
2	155973279	156007977	-	6430550D23Rik	156004427
2	155973279	156007977	-	6430550D23Rik	156004147
2	89007563	89018340	-	Olfr1216	89018324
2	89007563	89018340	-	Olfr1216	89018340
2	89007563	89018340	-	Olfr1216	89014062
11	83437677	83441233	+	1700020L24Rik	83437677
11	83437677	83441233	+	1700020L24Rik	83440131
16	33794037	33819934	+	Muc13	33794037
16	33794037	33819934	+	Muc13	33794367
17	31647081	31658892	-	U2af1	31658769
17	31647081	31658892	-	U2af1	31658892
17	31647081	31658892	-	U2af1	31658741
6	50188888	50263862	-	Gsdme	50261755
6	50188888	50263862	-	Gsdme	50261747
6	50188888	50263862	-	Gsdme	50263862
6	50188888	50263862	-	Gsdme	50262026
6	50188888	50263862	-	Gsdme	50261769
3	64115278	64141928	-	Vmn2r2	64141928
3	64115278	64141928	-	Vmn2r2	64137480
4	134003330	134018841	-	Lin28a	134018841
4	134003330	134018841	-	Lin28a	134012386
4	134003330	134018841	-	Lin28a	134009411
4	134003330	134018841	-	Lin28a	134018382
15	84785381	84856049	-	Phf21b	84855110
15	84785381	84856049	-	Phf21b	84856049
5	30647933	30659729	+	Slc35f6	30647933
5	30647933	30659729	+	Slc35f6	30647941
5	30647933	30659729	+	Slc35f6	30656096
2	155956458	155998900	+	Cep250	155956558
2	155956458	155998900	+	Cep250	155956572
2	155956458	155998900	+	Cep250	155956594
2	155956458	155998900	+	Cep250	155985883
6	87428994	87437677	+	Bmp10	87428994
9	14885814	14903949	-	Izumo1r	14903884
9	14885814	14903949	-	Izumo1r	14903949
9	14885814	14903949	-	Izumo1r	14903932
9	14885814	14903949	-	Izumo1r	14903756
9	14885814	14903949	-	Izumo1r	14903754
2	85352428	85363227	-	Olfr988	85363058
2	85352428	85363227	-	Olfr988	85363227
2	85352428	85363227	-	Olfr988	85354000
6	96831203	97060413	-	Tafa4	97060413
2	128591209	128598464	+	Spdye4c	128591209
2	128591209	128598464	+	Spdye4c	128594187
10	86690209	86705509	-	Hsp90b1	86705509
10	86690209	86705509	-	Hsp90b1	86698438
17	69969073	70821413	+	Dlgap1	69969073
17	69969073	70821413	+	Dlgap1	69969246
17	69969073	70821413	+	Dlgap1	69969402
17	69969073	70821413	+	Dlgap1	70424794
17	69969073	70821413	+	Dlgap1	70516022
17	69969073	70821413	+	Dlgap1	70516648
17	69969073	70821413	+	Dlgap1	70521677
17	69969073	70821413	+	Dlgap1	70522055
17	69969073	70821413	+	Dlgap1	70522136
17	69969073	70821413	+	Dlgap1	70522162
17	69969073	70821413	+	Dlgap1	70561552
16	33684370	33771576	+	Heg1	33684370
16	33684370	33771576	+	Heg1	33684466
16	33684370	33771576	+	Heg1	33684545
16	33684370	33771576	+	Heg1	33755550
6	137754546	137857340	+	Dera	137754556
6	137754546	137857340	+	Dera	137754558
6	137754546	137857340	+	Dera	137754576
6	137754546	137857340	+	Dera	137754615
6	137754546	137857340	+	Dera	137780823
6	137754546	137857340	+	Dera	137830289
6	137754546	137857340	+	Dera	137836852
15	51877429	51884614	+	Utp23	51877429
15	51877429	51884614	+	Utp23	51877478
15	51877429	51884614	+	Utp23	51877505
15	51877429	51884614	+	Utp23	51877742
5	73632749	73647790	-	Sgcb	73647790
2	38931978	38963753	+	Olfml2a	38931978
17	83585957	83631895	-	Kcng3	83631895
14	8431192	8666240	-	4930452B06Rik	8666240
12	102128733	102267091	+	Slc24a4	102128733
12	102128733	102267091	+	Slc24a4	102129174
12	102128733	102267091	+	Slc24a4	102129391
12	102128733	102267091	+	Slc24a4	102129419
11	101488764	101551955	-	Brca1	101551879
11	101488764	101551955	-	Brca1	101524858
11	101488764	101551955	-	Brca1	101551582
3	144570304	144597680	+	Selenof	144570426
3	144570304	144597680	+	Selenof	144570693
3	144570304	144597680	+	Selenof	144577652
18	86394952	86506718	+	Neto1	86394952
18	86394952	86506718	+	Neto1	86498956
12	30893326	30911589	-	Acp1	30911571
12	30893326	30911589	-	Acp1	30911589
13	64161824	64186537	+	Habp4	64161869
7	139834174	139878088	+	Adgra1	139834174
19	39992424	40012243	+	Cyp2c37	39992424
14	54507187	54517525	-	Prmt5	54517525
14	54507187	54517525	-	Prmt5	54513456
10	76562272	76570201	+	Spatc1l	76562272
10	76562272	76570201	+	Spatc1l	76562309
6	50110241	50198939	+	Mpp6	50110241
6	50110241	50198939	+	Mpp6	50110249
6	50110241	50198939	+	Mpp6	50110278
6	50110241	50198939	+	Mpp6	50110383
6	50110241	50198939	+	Mpp6	50110860
8	75109569	75128439	+	Mcm5	75109569
8	75109569	75128439	+	Mcm5	75109576
8	75109569	75128439	+	Mcm5	75109624
2	166805588	166898052	+	Arfgef2	166805588
2	166805588	166898052	+	Arfgef2	166827657
14	78849052	79202310	+	Vwa8	78849052
14	78849052	79202310	+	Vwa8	78849254
X	153118786	153132861	+	Foxr2	153118786
X	153118786	153132861	+	Foxr2	153126897
16	26463135	26482765	+	Cldn16	26463135
16	26463135	26482765	+	Cldn16	26463256
1	165460637	165481214	+	Mpc2	165461037
15	34484021	34495255	-	Rida	34495255
8	71624417	71671757	-	Unc13a	71671757
8	71624417	71671757	-	Unc13a	71671736
8	71624417	71671757	-	Unc13a	71645953
8	71624417	71671757	-	Unc13a	71658495
6	72513641	72521707	-	Sh2d6	72520627
6	72513641	72521707	-	Sh2d6	72520036
6	72513641	72521707	-	Sh2d6	72520617
6	72513641	72521707	-	Sh2d6	72520650
6	72513641	72521707	-	Sh2d6	72521707
6	72513641	72521707	-	Sh2d6	72520538
9	66843664	66919687	-	Rab8b	66919687
17	28587648	28622709	-	Srpk1	28622709
17	28587648	28622709	-	Srpk1	28622032
17	28587648	28622709	-	Srpk1	28622483
17	28587648	28622709	-	Srpk1	28622451
17	28587648	28622709	-	Srpk1	28622487
2	73908447	73911326	-	Atp5g3	73911325
2	73908447	73911326	-	Atp5g3	73911326
5	92441314	92506833	-	Scarb2	92505637
9	106368632	106375724	+	Dusp7	106368632
9	106368632	106375724	+	Dusp7	106370744
14	55587441	55591113	-	Psme2	55591087
14	55587441	55591113	-	Psme2	55591113
14	55587441	55591113	-	Psme2	55591101
17	37847483	37852057	+	Olfr126	37847483
17	37847483	37852057	+	Olfr126	37847512
17	37847483	37852057	+	Olfr126	37850594
X	153139981	153171943	+	Rragb	153139981
X	153139981	153171943	+	Rragb	153139987
11	94991035	95006899	+	Ppp1r9b	94991035
11	94991035	95006899	+	Ppp1r9b	94996064
16	26503656	26526769	-	Tmem207	26526762
1	88406961	88426438	+	Spp2	88406961
1	88406961	88426438	+	Spp2	88407279
7	44748413	44777515	+	Vrk3	44748413
7	44748413	44777515	+	Vrk3	44748584
7	44748413	44777515	+	Vrk3	44748646
7	44748413	44777515	+	Vrk3	44748647
7	44748413	44777515	+	Vrk3	44748943
15	101776172	101786460	-	Krt72	101786460
11	120635712	120643769	-	Pycr1	120643748
11	120635712	120643769	-	Pycr1	120643643
11	120635712	120643769	-	Pycr1	120643704
11	120635712	120643769	-	Pycr1	120643769
11	120635712	120643769	-	Pycr1	120643670
1	74391509	74397285	+	Ctdsp1	74391509
1	74391509	74397285	+	Ctdsp1	74392162
16	3707218	3718097	-	Mefv	3718097
16	3707218	3718097	-	Mefv	3718085
4	134053838	134058996	+	Zfp683	134053838
12	30884322	30893854	+	Alkal2	30884322
11	72435526	72438400	+	Ggt6	72435526
11	72435526	72438400	+	Ggt6	72435534
11	72435526	72438400	+	Ggt6	72435614
9	25481547	25604110	+	Eepd1	25481547
7	141475240	141493427	+	Tspan4	141475240
7	141475240	141493427	+	Tspan4	141475510
7	141475240	141493427	+	Tspan4	141475513
7	141475240	141493427	+	Tspan4	141475736
7	141475240	141493427	+	Tspan4	141476400
7	141475240	141493427	+	Tspan4	141482064
15	80977765	81012290	+	Sgsm3	80977765
15	80977765	81012290	+	Sgsm3	80977820
15	80977765	81012290	+	Sgsm3	80977837
15	80977765	81012290	+	Sgsm3	80977889
15	80977765	81012290	+	Sgsm3	80978057
15	80977765	81012290	+	Sgsm3	81006464
15	80977765	81012290	+	Sgsm3	81008359
9	106429454	106431568	+	Rpl29	106429454
9	106429454	106431568	+	Rpl29	106429538
9	106429454	106431568	+	Rpl29	106429539
9	106429454	106431568	+	Rpl29	106429555
9	106429454	106431568	+	Rpl29	106429562
9	106429454	106431568	+	Rpl29	106431069
8	88137855	88172027	+	Heatr3	88137855
8	88137855	88172027	+	Heatr3	88137856
1	135818598	135833342	+	Lad1	135818598
X	153237466	153396132	+	Klf8	153237466
X	153237466	153396132	+	Klf8	153237748
X	153237466	153396132	+	Klf8	153359613
10	82833951	82897712	+	Txnrd1	82833951
10	82833951	82897712	+	Txnrd1	82859179
10	82833951	82897712	+	Txnrd1	82859207
10	82833951	82897712	+	Txnrd1	82859259
10	82833951	82897712	+	Txnrd1	82860301
1	75210838	75215606	+	Stk16	75210838
1	75210838	75215606	+	Stk16	75210848
1	75210838	75215606	+	Stk16	75210874
1	75210838	75215606	+	Stk16	75211054
1	75210838	75215606	+	Stk16	75211240
5	114003703	114025682	+	Dao	114003703
5	114003703	114025682	+	Dao	114003884
5	114003703	114025682	+	Dao	114004808
5	114003703	114025682	+	Dao	114009891
13	75089826	75134861	+	Pcsk1	75089826
13	75089826	75134861	+	Pcsk1	75110818
1	155776029	155812889	-	Qsox1	155812889
1	155776029	155812889	-	Qsox1	155812851
1	155776029	155812889	-	Qsox1	155812844
11	97703399	97713500	+	Psmb3	97703399
13	34002363	34037147	+	Ripk1	34002363
13	34002363	34037147	+	Ripk1	34002874
13	34002363	34037147	+	Ripk1	34009698
11	23256041	23298249	+	Xpo1	23256078
11	23256041	23298249	+	Xpo1	23256055
11	23256041	23298249	+	Xpo1	23284644
11	23256041	23298249	+	Xpo1	23256589
11	23256041	23298249	+	Xpo1	23256041
17	46428926	46431776	+	Crip3	46428926
17	46428926	46431776	+	Crip3	46428942
17	46428926	46431776	+	Crip3	46428951
15	25984366	25998481	+	Zfp622	25984366
15	25984366	25998481	+	Zfp622	25986795
16	65539128	65562726	-	Chmp2b	65562520
16	65539128	65562726	-	Chmp2b	65562726
15	101793308	101802346	-	Krt73	101802346
5	115341225	115343569	+	Triap1	115341225
X	6779306	6948363	+	Dgkk	6873484
X	6779306	6948363	+	Dgkk	6779306
9	54980880	55007779	+	Chrna5	54980880
9	54980880	55007779	+	Chrna5	54981466
9	54980880	55007779	+	Chrna5	54981533
9	66946086	66949516	+	Rps27l	66946086
9	66946086	66949516	+	Rps27l	66946091
9	66946086	66949516	+	Rps27l	66947642
6	142587862	142702315	-	Abcc9	142702218
6	142587862	142702315	-	Abcc9	142702273
6	142587862	142702315	-	Abcc9	142702315
6	142587862	142702315	-	Abcc9	142702274
11	69561758	69580255	-	Wrap53	69579324
11	69561758	69580255	-	Wrap53	69580255
2	148681023	148692949	+	Gzf1	148681023
2	148681023	148692949	+	Gzf1	148681211
3	154576431	154597104	-	Tyw3	154597095
3	154576431	154597104	-	Tyw3	154597104
3	154576431	154597104	-	Tyw3	154597098
15	101810689	101818169	-	Krt2	101818169
10	97565128	97572703	+	Lum	97565128
8	113643213	113655533	+	Syce1l	113643213
8	113643213	113655533	+	Syce1l	113643218
8	113643213	113655533	+	Syce1l	113643232
2	118528757	118549687	-	Bmf	118549687
2	118528757	118549687	-	Bmf	118547559
2	118528757	118549687	-	Bmf	118547027
16	42248442	42340651	-	Gap43	42340651
1	85894281	85908675	+	Itm2c	85894281
1	85894281	85908675	+	Itm2c	85894619
9	39166304	39192350	+	Olfr943	39166310
1	88499871	88510066	-	Glrp1	88510066
7	141493136	141539857	-	Chid1	141539816
7	141493136	141539857	-	Chid1	141539804
7	141493136	141539857	-	Chid1	141539530
7	141493136	141539857	-	Chid1	141539857
13	96748272	96910039	+	Ankrd31	96748272
13	96748272	96910039	+	Ankrd31	96748532
X	153498227	153501570	+	Ubqln2	153498227
15	101845426	101850794	-	Krt1	101850794
3	144683678	144720335	-	Sh3glb1	144720110
3	144683678	144720335	-	Sh3glb1	144697467
3	144683678	144720335	-	Sh3glb1	144720323
3	144683678	144720335	-	Sh3glb1	144720335
3	144683678	144720335	-	Sh3glb1	144720205
3	144683678	144720335	-	Sh3glb1	144706633
X	73922121	73930850	-	Renbp	73930792
X	73922121	73930850	-	Renbp	73930850
X	73922121	73930850	-	Renbp	73930756
17	37900437	37906795	+	Olfr127	37900437
17	37900437	37906795	+	Olfr127	37903522
X	153558593	153559429	+	Cypt3	153558593
1	75214228	75219865	-	Tuba4a	75219294
1	75214228	75219865	-	Tuba4a	75218624
1	75214228	75219865	-	Tuba4a	75217434
1	75214228	75219865	-	Tuba4a	75217414
1	75214228	75219865	-	Tuba4a	75219865
1	75214228	75219865	-	Tuba4a	75218888
8	75213944	75224113	+	Rasd2	75213944
8	75213944	75224113	+	Rasd2	75214502
5	100679484	100719716	-	Hpse	100719716
5	100679484	100719716	-	Hpse	100719705
17	37920548	37926801	+	Olfr128	37920548
17	37920548	37926801	+	Olfr128	37923506
5	129941970	129986692	+	Vkorc1l1	129941970
5	129941970	129986692	+	Vkorc1l1	129942109
5	129941970	129986692	+	Vkorc1l1	129942127
2	38997476	39006168	+	Wdr38	38998319
13	33964687	33988443	+	Nqo2	33964687
13	33964687	33988443	+	Nqo2	33964751
13	33964687	33988443	+	Nqo2	33965006
13	33964687	33988443	+	Nqo2	33967153
3	137864487	137866922	+	H2az1	137864487
3	137864487	137866922	+	H2az1	137864573
3	137864487	137866922	+	H2az1	137864613
2	177935993	177957297	-	Gm14326	177957288
2	177935993	177957297	-	Gm14326	177957297
2	177935993	177957297	-	Gm14326	177957239
2	177935993	177957297	-	Gm14326	177953684
12	111484609	111485823	-	Gm266	111485823
3	103722222	103738001	-	Olfml3	103738001
3	103722222	103738001	-	Olfml3	103732553
15	84910438	84920038	-	Gm29666	84920038
3	65666228	65831355	+	Lekr1	65666228
3	65666228	65831355	+	Lekr1	65666268
2	122681233	122702663	-	Slc30a4	122702639
2	122681233	122702663	-	Slc30a4	122702663
12	111442469	111455018	+	Tnfaip2	111442469
12	111442469	111455018	+	Tnfaip2	111442658
12	111442469	111455018	+	Tnfaip2	111444324
4	86575668	86577285	+	Rraga	86575668
X	153685154	153696391	-	Kctd12b	153696280
X	153685154	153696391	-	Kctd12b	153696391
8	75405340	75406589	-	Gm10358	75406589
15	101858731	101869705	-	Krt77	101869705
X	133891068	133898429	-	Tspan6	133898429
X	133891068	133898429	-	Tspan6	133898294
19	40037940	40073827	-	Cyp2c54	40073827
X	153723590	153741920	+	Nbdy	153723590
X	153723590	153741920	+	Nbdy	153723593
X	153723590	153741920	+	Nbdy	153723610
X	153723590	153741920	+	Nbdy	153723627
X	153723590	153741920	+	Nbdy	153725833
11	120653788	120661175	-	Notum	120660606
11	120653788	120661175	-	Notum	120660829
11	120653788	120661175	-	Notum	120661175
7	44731480	44751050	-	Zfp473	44744230
7	44731480	44751050	-	Zfp473	44748617
7	44731480	44751050	-	Zfp473	44748391
7	44731480	44751050	-	Zfp473	44748049
7	44731480	44751050	-	Zfp473	44748306
7	44731480	44751050	-	Zfp473	44748349
7	44731480	44751050	-	Zfp473	44751050
6	147032584	147034245	+	Rep15	147032584
10	97606879	97613692	+	Kera	97606879
7	123279218	123369915	-	Arhgap17	123369851
7	123279218	123369915	-	Arhgap17	123369886
7	123279218	123369915	-	Arhgap17	123369878
7	123279218	123369915	-	Arhgap17	123369885
2	39001580	39005624	-	Rpl35	39005624
9	66955388	66975484	-	Lactb	66975420
9	66955388	66975484	-	Lactb	66975484
18	67800107	67885170	+	Cep192	67800107
4	155650655	155653384	-	Mmp23	155653384
3	8925593	9004723	-	Tpd52	9004723
3	8925593	9004723	-	Tpd52	9004478
3	8925593	9004723	-	Tpd52	8964046
3	8925593	9004723	-	Tpd52	8964048
3	8925593	9004723	-	Tpd52	8993890
3	8925593	9004723	-	Tpd52	9004439
3	8925593	9004723	-	Tpd52	8962253
3	8925593	9004723	-	Tpd52	8988636
8	113635587	113645179	+	Mon1b	113635587
8	113635587	113645179	+	Mon1b	113635835
2	39005348	39015877	+	Arpc5l	39008076
12	84783212	84876532	-	Ltbp2	84876532
12	84783212	84876532	-	Ltbp2	84876479
12	84783212	84876532	-	Ltbp2	84791843
12	84783212	84876532	-	Ltbp2	84792971
12	84783212	84876532	-	Ltbp2	84799463
12	84783212	84876532	-	Ltbp2	84876495
X	6979652	7041619	-	Ccnb3	7041619
X	6979652	7041619	-	Ccnb3	7030936
9	59750896	59928866	+	Myo9a	59750896
2	57237635	57370719	+	Gpd2	57238297
2	57237635	57370719	+	Gpd2	57238382
2	57237635	57370719	+	Gpd2	57237678
8	71610998	71624911	+	Colgalt1	71610998
2	64912476	65024987	-	Grb14	64917240
2	64912476	65024987	-	Grb14	64917315
2	64912476	65024987	-	Grb14	65022782
2	64912476	65024987	-	Grb14	64975769
9	106432981	106438319	-	Acy1	106438319
9	106432981	106438319	-	Acy1	106435163
9	106432981	106438319	-	Acy1	106438188
9	106432981	106438319	-	Acy1	106437737
9	106432981	106438319	-	Acy1	106438187
7	115470872	116038796	-	Sox6	116031047
7	115470872	116038796	-	Sox6	115824710
7	115470872	116038796	-	Sox6	115846140
7	115470872	116038796	-	Sox6	115995086
7	115470872	116038796	-	Sox6	115662365
7	115470872	116038796	-	Sox6	115859852
7	115470872	116038796	-	Sox6	116038744
7	115470872	116038796	-	Sox6	115846105
8	12614277	12672248	-	Tubgcp3	12672248
X	61709497	61710955	+	Ldoc1	61709497
5	115345642	115348981	-	Cox6a1	115348981
X	153832225	153834243	+	Spin2c	153832225
X	153832225	153834243	+	Spin2c	153832241
X	153832225	153834243	+	Spin2c	153832293
3	107963696	107969283	-	Gstm3	107969283
19	11321039	11336146	-	Ms4a7	11334695
19	11321039	11336146	-	Ms4a7	11336144
19	11321039	11336146	-	Ms4a7	11336116
19	11321039	11336146	-	Ms4a7	11324628
2	178023284	178034022	+	Zfp971	178023284
2	178023284	178034022	+	Zfp971	178023379
15	55636388	55906949	-	Sntb1	55906949
15	55636388	55906949	-	Sntb1	55906722
X	154001590	154012640	-	Samt1	154012640
X	154001590	154012640	-	Samt1	154011264
11	120646031	120648158	-	Myadml2	120648110
11	120646031	120648158	-	Myadml2	120648158
16	65815257	65866368	+	Vgll3	65815257
16	65815257	65866368	+	Vgll3	65815629
2	178067695	178078476	-	Zfp931	178078425
2	178067695	178078476	-	Zfp931	178078476
X	98554277	98891025	-	Ophn1	98890985
X	98554277	98891025	-	Ophn1	98890781
X	98554277	98891025	-	Ophn1	98578489
X	154022780	154033827	-	Samt1b	154033827
X	154022780	154033827	-	Samt1b	154032451
6	97110024	97149182	-	Eogt	97149182
6	97110024	97149182	-	Eogt	97148927
6	97110024	97149182	-	Eogt	97147784
6	97110024	97149182	-	Eogt	97147794
6	97110024	97149182	-	Eogt	97148860
6	97110024	97149182	-	Eogt	97148924
X	154043986	154055039	-	Samt1c	154055039
10	71254980	71285262	-	Ube2d1	71285262
X	133908426	133932446	+	Srpx2	133908426
X	133908426	133932446	+	Srpx2	133908448
9	39201920	39218421	+	Olfr944	39201920
9	39201920	39218421	+	Olfr944	39201980
9	39201920	39218421	+	Olfr944	39217359
15	84923411	84942963	+	Nup50	84923411
15	84923411	84942963	+	Nup50	84923449
X	62283499	62292078	+	4933402E13Rik	62287142
X	62283499	62292078	+	4933402E13Rik	62283499
1	59982490	60043184	-	Ica1l	60043087
1	59982490	60043184	-	Ica1l	60043122
1	59982490	60043184	-	Ica1l	60028229
7	86795027	86815140	+	Vmn2r77	86795027
7	86795027	86815140	+	Vmn2r77	86795141
7	143069249	143071093	+	Tssc4	143069249
7	143069249	143071093	+	Tssc4	143069341
7	143069249	143071093	+	Tssc4	143069368
7	143069249	143071093	+	Tssc4	143069424
7	143069249	143071093	+	Tssc4	143069544
7	143069249	143071093	+	Tssc4	143069767
3	79641611	79737880	-	Rxfp1	79737794
9	39234412	39249994	-	Olfr1537	39249994
9	39234412	39249994	-	Olfr1537	39238431
2	165055627	165072948	+	Cd40	165055627
2	165055627	165072948	+	Cd40	165055680
2	165055627	165072948	+	Cd40	165055681
2	165055627	165072948	+	Cd40	165055636
13	96924689	96950906	+	Gcnt4	96924689
17	37952051	37953079	-	Olfr761	37953079
17	46432183	46438457	-	Slc22a7	46438457
17	46432183	46438457	-	Slc22a7	46437629
17	46432183	46438457	-	Slc22a7	46438394
15	51962240	51991747	-	Rad21	51991747
15	51962240	51991747	-	Rad21	51991510
9	39256869	39276818	-	Olfr945	39276818
9	39256869	39276818	-	Olfr945	39258682
15	75155240	75159126	+	Ly6g	75155240
15	75155240	75159126	+	Ly6g	75156693
17	38050857	38060079	-	Olfr129	38060079
17	38050857	38060079	-	Olfr129	38055591
9	57599992	57606281	-	Cplx3	57606281
9	57599992	57606281	-	Cplx3	57605078
9	57599992	57606281	-	Cplx3	57606236
7	86915094	86955312	+	Vmn2r78	86915094
12	83763634	83792382	+	Papln	83763634
12	83763634	83792382	+	Papln	83763654
3	94884093	94886961	-	Psmb4	94886961
X	154109633	154120685	-	Samt1d	154120685
12	71015990	71098592	+	Arid4a	71015990
12	71015990	71098592	+	Arid4a	71016708
12	71015990	71098592	+	Arid4a	71048341
X	154339225	154343392	-	Samt2b	154343392
2	173020498	173034734	+	Rbm38	173020498
2	173020498	173034734	+	Rbm38	173022438
2	173020498	173034734	+	Rbm38	173022831
2	173020498	173034734	+	Rbm38	173021902
8	109591343	109608673	-	Dhodh	109608623
8	109591343	109608673	-	Dhodh	109608673
X	154482002	154484682	+	Samt4	154482002
8	71272714	71360713	+	Myo9b	71272714
8	71272714	71360713	+	Myo9b	71272734
8	71272714	71360713	+	Myo9b	71272755
8	71272714	71360713	+	Myo9b	71348778
7	143069153	143094642	-	Trpm5	143074561
7	143069153	143094642	-	Trpm5	143074037
7	143069153	143094642	-	Trpm5	143094642
X	154575228	154579360	-	Samt2	154579360
7	45554893	45567752	+	Hsd17b14	45554893
7	45554893	45567752	+	Hsd17b14	45554937
10	128541963	128547774	-	Zc3h10	128547774
10	128541963	128547774	-	Zc3h10	128547639
10	128541963	128547774	-	Zc3h10	128547725
1	59913006	59985346	+	Fam117b	59913006
10	76575648	76590338	+	Ftcd	76575648
5	143403838	143421901	+	Kdelr2	143403838
15	84943936	84988551	-	5031439G07Rik	84988000
15	84943936	84988551	-	5031439G07Rik	84987971
10	82866626	82867930	+	Eid3	82866626
15	77729039	77736382	+	Apol9b	77729039
15	77729039	77736382	+	Apol9b	77729094
15	77729039	77736382	+	Apol9b	77729148
15	77729039	77736382	+	Apol9b	77733604
4	119277981	119294604	-	Ybx1	119294604
4	119277981	119294604	-	Ybx1	119282792
2	85398824	85409469	-	Olfr992	85409440
2	85398824	85409469	-	Olfr992	85409469
2	85398824	85409469	-	Olfr992	85409441
2	85398824	85409469	-	Olfr992	85400531
10	127171393	127180645	-	Slc26a10	127180645
17	34660457	34719815	+	Tnxb	34660457
17	34660457	34719815	+	Tnxb	34670535
10	128509965	128525871	-	Esyt1	128525870
9	55010111	55026562	-	Chrna3	55026562
9	55010111	55026562	-	Chrna3	55026530
9	55010111	55026562	-	Chrna3	55026559
9	63163768	63377902	-	Map2k5	63377902
14	51984719	52006251	+	Arhgef40	51984838
14	51984719	52006251	+	Arhgef40	51984864
14	51984719	52006251	+	Arhgef40	51984909
14	51984719	52006251	+	Arhgef40	51984910
14	51984719	52006251	+	Arhgef40	51984931
14	51984719	52006251	+	Arhgef40	51984971
14	51984719	52006251	+	Arhgef40	52002358
14	51984719	52006251	+	Arhgef40	52002433
14	51984719	52006251	+	Arhgef40	52004082
9	57607085	57620774	-	Lman1l	57620774
10	127501686	127508823	+	Stac3	127501686
10	127501686	127508823	+	Stac3	127501694
10	127501686	127508823	+	Stac3	127501717
6	125191801	125196269	+	Mrpl51	125192165
16	8409275	8425136	-	Tmem114	8425136
1	174330518	174332873	+	Mptx1	174330518
1	171270328	171276896	+	B4galt3	171270328
1	171270328	171276896	+	B4galt3	171270339
1	171270328	171276896	+	B4galt3	171270343
1	171270328	171276896	+	B4galt3	171270365
1	171270328	171276896	+	B4galt3	171271640
8	75448694	75984503	+	Iqcm	75448694
8	75448694	75984503	+	Iqcm	75448791
8	75448694	75984503	+	Iqcm	75448983
9	58359704	58370455	-	Tbc1d21	58370455
X	154886805	154890267	-	Cldn34b1	154890267
5	92555069	92591279	+	Fam47e	92555069
5	92555069	92591279	+	Fam47e	92571477
5	92555069	92591279	+	Fam47e	92571536
5	92555069	92591279	+	Fam47e	92571537
5	92555069	92591279	+	Fam47e	92571543
5	92555069	92591279	+	Fam47e	92571556
1	174365122	174374472	+	Olfr417	174365122
1	174365122	174374472	+	Olfr417	174368919
13	97021864	97034362	-	1700029F12Rik	97034362
10	127165225	127172330	+	B4galnt1	127165225
X	154924012	154935987	-	Magea6	154935987
X	154924012	154935987	-	Magea6	154926115
14	67715937	67742310	+	Kctd9	67715937
14	67715937	67742310	+	Kctd9	67716098
14	67715937	67742310	+	Kctd9	67716140
14	67715937	67742310	+	Kctd9	67716151
14	67715937	67742310	+	Kctd9	67716262
16	19198396	19200351	-	Iglc2	19200351
X	154948543	154949505	-	Magea3	154949505
17	55749984	55853662	+	Adgre4	55749984
X	154985775	154995850	-	Magea8	154995850
6	42668002	42710088	-	Tcaf1	42710088
6	42668002	42710088	-	Tcaf1	42693087
6	42668002	42710088	-	Tcaf1	42693059
13	71957921	71963723	-	Irx1	71963723
13	71957921	71963723	-	Irx1	71959433
13	71957921	71963723	-	Irx1	71960716
X	155088686	155089793	-	Magea1	155089793
16	3744093	3750790	+	Zfp263	3744093
16	3744093	3750790	+	Zfp263	3747887
X	155027201	155093666	-	Magea2	155032500
X	155027201	155093666	-	Magea2	155093666
X	155027201	155093666	-	Magea2	155033292
1	177729814	177753324	+	1700016C15Rik	177729814
7	139894696	139941537	+	Kndc1	139894839
7	139894696	139941537	+	Kndc1	139894696
4	129619274	129623947	-	Ccdc28b	129623947
4	129619274	129623947	-	Ccdc28b	129623878
4	129619274	129623947	-	Ccdc28b	129623886
X	155053061	155063145	-	Magea5	155063145
X	155053061	155063145	-	Magea5	155061553
2	173093609	173119525	-	Ctcfl	173119525
7	51511029	51598709	+	Ano5	51511029
7	51511029	51598709	+	Ano5	51511041
7	51511029	51598709	+	Ano5	51511107
15	78159463	78174107	-	Ift27	78173473
15	78159463	78174107	-	Ift27	78174107
15	78159463	78174107	-	Ift27	78172468
15	82402846	82407195	-	Cyp2d10	82407171
15	82402846	82407195	-	Cyp2d10	82407195
15	82402846	82407195	-	Cyp2d10	82405967
15	82402846	82407195	-	Cyp2d10	82407179
